State, Year, Championships
Real Madrid, 2000, 1
Real Madrid, 2001, 1
Real Madrid, 2002, 1
Real Madrid, 2003, 0
Real Madrid, 2004, 0
Real Madrid, 2005, 0
Real Madrid, 2006, 1
Real Madrid, 2007, 1
Real Madrid, 2008, 1
Real Madrid, 2009, 0
Real Madrid, 2010, 1
Real Madrid, 2011, 1
Real Madrid, 2012, 1
Real Madrid, 2013, 2
Barcelona, 2000, 0
Barcelona, 2001, 0
Barcelona, 2002, 0
Barcelona, 2003, 0
Barcelona, 2004, 1
Barcelona, 2005, 3
Barcelona, 2006, 1
Barcelona, 2007, 0
Barcelona, 2008, 3
Barcelona, 2009, 4
Barcelona, 2010, 3
Barcelona, 2011, 4
Barcelona, 2012, 1
Barcelona, 2013, 1
